A list of all the names already used for the levels.
Please choose different names.
=====================================================

             Name                 Collection    Num.
------------------------------  --------------  ----
- + ÷ ×                         Sokoban-II      1294
!!!                             Beginner-II     0718
!!!!Don't worry, be happy!!!!   Sokoban-II      0918
!!!Triumph¡¡¡                   Challenge-III   0189
!...0                           Sokoban-II      0523
!?                              Sokoban-I       0691
!|Square|!                      Beginner-I      0684
!Infinite!                      Beginner-I      0669
!Sokoban! 1                     Sokoban-I       1679
" T "                           Beginner-I      1453
"0"                             LaserTank       1650
"1"                             LaserTank       1651
"2"                             LaserTank       1652
"3"                             LaserTank       1653
"4"                             LaserTank       1654
"5"                             LaserTank       1655
"6 Flags"                       Challenge-II    1686
"6"                             LaserTank       1656
"7"                             LaserTank       1657
"8"                             LaserTank       1658
"9"                             LaserTank       1659
"A Minute"-DDRS #1              Special-I       0515
"A" again like in LaserTank     Beginner-I      0127
"A" like in LaserTank           Beginner-I      0122
"Be firm & correct" by Yono     Challenge-III   0653
"Blockest"!!!                   LaserTank       0485
"E" like in LaserTank           Beginner-I      0124
"F" Fort Less II                Special-I       0453
"Hard" Thing                    Beginner-I      0985
"Inilah Sungai" ~ "Iya"         LaserTank       0306
"K" like in LaserTank           Beginner-I      0129
"L" like in LaserTank           Beginner-I      0121
"Laser-Technichin"              Special-I       0306
"Less mess"Pres says            Challenge-III   0825
"Morer" Blocked?!               LaserTank       0484
"my first" le 1° de mon arche   Beginner-I      1556
"N" like in LaserTank           Beginner-I      0128
"Natural" Easy I                Beginner-I      0637
"Natural" Easy II               Beginner-I      0638
"R" like in LaserTank           Beginner-I      0125
"S" like in LaserTank           Beginner-I      0123
"selfmade" level 3              Challenge-IV    0546
"Socomaster"                    Beginner-I      1415
"Strait" Up                     Challenge-III   0123
"Surf" The Water                Sokoban-I       0558
"T" like in LaserTank           Beginner-I      0126
"T"RAX                          Beginner-I      0313
#$?@|Shortcuts|?@$#             Challenge-II    0718
$$$$$$$$$$$$$$$$$$$$$$$         Beginner-I      0721
$$$$$$$$$$$$$$$$$$$$$$$ Final   Beginner-I      0725
$$$$$$$$$$$$$$$$$$$$$$$ II      Beginner-I      0722
$$$$$$$$$$$$$$$$$$$$$$$ III     Beginner-I      0723
$$$$$$$$$$$$$$$$$$$$$$$ IV      Beginner-I      0724
$1.00 = £0.625 = ¥120.0         Challenge-II    1765
$10© F|_|$*|n9                  Beginner-II     0816
$2 = Bloc ; $3 = Eau            Beginner-II     0811
%µù&²*=+°©•{}(MOI)©§!;?         Sokoban-I       1952
& if there is an LT 11 cmdt?    Sokoban-II      1455
((2²)²)² A Grands Pas           Challenge-II    1601
(-: Mr Crab's Journey :-)       Challenge-IV    0026
(> '.')> (>'.'<) <('.' <)       Sokoban-I       1745
(A)mazing                       Challenge-III   0503
