int	count	chr
0	482822	( )
1	1	()
3	1	()
10	1879	(
)
)
30	1	()
32	24370	( )
33	1037	(!)
34	116	(")
35	28	(#)
37	3	(%)
38	77	(&)
39	499	(')
40	245	(()
41	238	())
42	230	(*)
43	166	(+)
44	803	(,)
45	632	(-)
46	3204	(.)
47	159	(/)
48	808	(0)
49	731	(1)
50	685	(2)
51	441	(3)
52	316	(4)
53	347	(5)
54	231	(6)
55	190	(7)
56	238	(8)
57	377	(9)
58	368	(:)
59	17	(;)
60	8	(<)
61	205	(=)
62	17	(>)
63	263	(?)
64	350	(@)
65	962	(A)
66	659	(B)
67	615	(C)
68	482	(D)
69	668	(E)
70	407	(F)
71	372	(G)
72	729	(H)
73	1106	(I)
74	424	(J)
75	378	(K)
76	719	(L)
77	1006	(M)
78	391	(N)
79	457	(O)
80	369	(P)
81	56	(Q)
82	699	(R)
83	1115	(S)
84	1402	(T)
85	276	(U)
86	179	(V)
87	312	(W)
88	63	(X)
89	295	(Y)
90	109	(Z)
91	5	([)
92	6	(\)
93	6	(])
94	23	(^)
95	153	(_)
96	10	(`)
97	8170	(a)
98	1862	(b)
99	2717	(c)
100	3250	(d)
101	12649	(e)
102	1609	(f)
103	2309	(g)
104	5284	(h)
105	6695	(i)
106	276	(j)
107	2146	(k)
108	5233	(l)
109	3044	(m)
110	6823	(n)
111	10674	(o)
112	1559	(p)
113	88	(q)
114	6546	(r)
115	7316	(s)
116	8731	(t)
117	3547	(u)
118	1679	(v)
119	1169	(w)
120	355	(x)
121	2803	(y)
122	226	(z)
124	18	(|)
126	18	(~)
154	7	()
164	3	(¤)
168	3	(¨)
169	2	(©)
172	1	(¬)
174	2	(®)
175	10	(¯)
176	1	(°)
177	160	(±)
180	10	(´)
197	1	(Å)
201	4	(É)
202	1	(Ê)
207	1	(Ï)
209	5	(Ñ)
216	1	(Ø)
223	10	(ß)
224	3	(à)
225	16	(á)
226	1	(â)
227	6	(ã)
228	2	(ä)
229	3	(å)
231	3	(ç)
232	2	(è)
233	11	(é)
234	11	(ê)
237	9	(í)
238	1	(î)
243	3	(ó)
244	1	(ô)
246	4	(ö)
248	4	(ø)
250	2	(ú)
252	4	(ü)
255	1	(ÿ)
